wls,ev,lia_voltages,lia_voltage_stds,eqe,eqe_error
700,1.7712027571428572,3.903004500000001e-06,2.0634895801772277e-08,0.011179321646324628,8.712243902432939e-05
710,1.74625623943662,3.643267e-06,1.2952124574756111e-08,0.011738812340664826,7.624490649137161e-05
720,1.7220026805555557,4.5759665e-06,1.4567301834931593e-08,0.013947140093412086,8.738919883925757e-05
730,1.698413602739726,5.564774e-06,3.0299844455046306e-08,0.018219894155419677,0.0001568463887849661
740,1.6754620675675675,1.1552085e-05,3.183101121547983e-08,0.034405673010977814,0.0001776704423145513
750,1.6531225733333335,2.2333885000000002e-05,4.9003604714346936e-08,0.069350397200683,0.0004735292904065643
760,1.6313709605263158,3.6147555e-05,7.358921439314327e-08,0.11920541552012134,0.0006091270520049295
770,1.6101843246753247,6.0279905e-05,1.652165290611078e-07,0.1646040141879248,0.0007530182248930632
780,1.589540935897436,5.267378500000001e-05,1.8712349471672425e-07,0.17921979744165326,0.0009541863789483393
790,1.569420164556962,4.023756e-05,1.1820009475461494e-07,0.17523244274771466,0.0008307846219664086
800,1.5498024125,4.5090205e-05,1.775926081654297e-07,0.180755894091801,0.0007855212713742924
810,1.5306690493827162,4.3972065e-05,1.3211740337669392e-07,0.1823890940430391,0.0007939099526577629
820,1.5120023536585367,4.2574065e-05,1.012719915623279e-07,0.18338050827702215,0.0008081532548508733
830,1.4937854578313254,0.0001806344,4.884070433562554e-07,0.20075669835493876,0.0009699825363117025
840,1.4760022976190477,0.00017858084999999998,3.725367465096569e-07,0.21137806404580411,0.0007316956262312016
850,1.4586375647058825,6.881550500000001e-05,2.2229692637326388e-07,0.20061053228648545,0.0008886413922248227
860,1.4416766627906978,2.605237e-05,9.223455480458516e-08,0.17465600008832546,0.0012267628080667148
870,1.4251056666666668,3.0211749999999998e-05,1.0247275491563591e-07,0.17718226819711044,0.0013104889841045245
880,1.408911284090909,4.9422535000000006e-05,2.2246568111733567e-07,0.19315483529843017,0.001034568425354331
890,1.3930808202247191,0.00023380005000000004,7.386860953747536e-07,0.21315498408969205,0.0010091821365265429
900,1.3776021444444444,0.00013960804999999999,2.963772047577231e-07,0.21388251196302943,0.0007143375325366936
910,1.3624636593406594,0.00014903709999999998,4.647192593383687e-07,0.21595227034839823,0.0010520310628409223
920,1.3476542717391304,0.00013017595,2.5984947084802633e-07,0.21475575843076322,0.0007111691401895238
930,1.333163365591398,0.0001412983,3.5256107272357737e-07,0.22638513189940837,0.0008373282822626277
940,1.3189807765957446,5.6504879999999994e-05,1.455512026745226e-07,0.2069717202540239,0.001445611188246678
950,1.3050967684210526,0.0001039908,2.8149628771974883e-07,0.2211917492847051,0.0007757815219480444
960,1.2915020104166668,0.000102921,2.850059648498609e-07,0.22653098560662088,0.000761312273814283
970,1.278187556701031,4.8037294999999995e-05,1.2043236058053524e-07,0.21306183303671586,0.0006960286050940422
980,1.2651448265306122,7.274887499999999e-05,1.564194836809015e-07,0.21739255351756306,0.0007645915031925587
990,1.2523655858585858,0.00015983645,2.747186697332414e-07,0.23112935093529127,0.0010904883656206472
1000,1.23984193,0.00016031329999999998,3.5727861676848556e-07,0.22554044084405525,0.0005822772119482972
1010,1.2275662673267327,2.360951e-05,6.63727572125793e-08,0.19316032032197586,0.0008158932969137036
1020,1.2155313039215687,5.155881e-05,1.236913574183744e-07,0.20390146266663411,0.0007136288301219404
1030,1.2037300291262136,3.181599e-05,9.133835941158575e-08,0.19371089531567973,0.0006721241549632433
1040,1.192155701923077,2.2941014999999997e-05,7.591679837163858e-08,0.1732259736841476,0.0010994025292026617
1050,1.180801838095238,1.9377215e-05,2.8627369334257903e-08,0.15945565418431648,0.0006393400523048126
1060,1.1696621981132076,2.4528169999999998e-05,4.881446609356709e-08,0.15228083329928033,0.0006853548517000185
1070,1.1587307757009346,1.5883965e-05,6.499219395435091e-08,0.13119998864355922,0.000726665077077829
1080,1.1480017870370371,1.3482205000000001e-05,4.0647096759793316e-08,0.11210092975550483,0.00040582789859961333
1090,1.1374696605504588,1.9287625e-05,3.154482326785192e-08,0.10485725614770632,0.0004319886415200082
1100,1.1271290272727272,1.3190195000000003e-05,3.4413870386807685e-08,0.09339923291418384,0.0003449230162258537
1110,1.1169747117117117,7.598858e-06,2.5420799869398285e-08,0.07075832203642153,0.0003872694768159204
1120,1.1070017232142857,1.2557169999999999e-05,3.356066298510817e-08,0.06627059960456304,0.00026030028617615275
1130,1.0972052477876106,5.632318999999999e-06,1.8462950170544315e-08,0.05092461700900124,0.0002052542594219542
1140,1.0875806403508772,3.29437e-06,1.5883826365205613e-08,0.03689296235081976,0.0002559125954425311
1150,1.0781234173913044,2.2791004999999996e-06,1.9662732636894617e-08,0.0266173694600533,0.0002655862618675851
1160,1.06882925,1.560659e-06,1.5924505612420143e-08,0.018237555733990708,0.00019954347834549675
1170,1.0596939572649573,1.0653695e-06,1.5242649531823536e-08,0.010940797106459406,0.00016167805487192822
1180,1.0507135,8.793235000000001e-07,1.0301319510140429e-08,0.004827966998794432,6.047585564482931e-05
1190,1.041883974789916,3.5895395e-07,1.288174757350493e-08,0.0018429654354971407,6.641047522344918e-05
1200,1.0332016083333333,1.0642346e-07,2.0178960929106336e-08,0.0008764665595305466,0.00016621072043267697
1210,1.0246627520661158,4.0094173499999996e-08,1.5250880988763328e-08,0.0004485543469793915,0.00017062022561828983
1220,1.0162638770491803,2.93964855e-08,1.2345668724066539e-08,0.0003511089926135707,0.00014745662047986393
1230,1.0080015691056912,2.38048805e-08,1.1307823117720086e-08,0.00026675885092123383,0.00012671752944264705
1240,0.9998725241935484,1.0345832499999998e-08,1.8114167964576097e-09,0.00011703580702613771,2.0492618955541215e-05
1250,0.991873544,2.0735498e-08,7.75835697476766e-09,0.0002608771437885759,9.761510663686283e-05
1260,0.9840015317460318,2.6052530049999995e-08,1.3916139804996823e-08,0.00030121516350796283,0.00016089761047808715
1270,0.9762534881889764,1.8396544e-08,8.469410952217634e-09,0.00010389493212096257,4.783172658266928e-05
1280,0.9686265078125,1.75033245e-08,1.134651626981977e-08,0.00012774708930484533,8.28170066151493e-05
1290,0.9611177751937985,2.0819544999999998e-08,7.834726687350045e-09,0.00024037971013817516,9.04623356383462e-05
1300,0.9537245615384615,2.6230688999999995e-08,7.851410184145201e-09,0.0003264259656034849,9.771181811231657e-05
